Time,X-position,Y-position,Total Track Time
1709507858.41073,-0.084508061408997,-25.5096549987793,
1709507858.47774,-0.085053227841854,-25.0103321075439,
1709507858.53848,-0.085441015660763,-24.5108337402344,
1709507858.60765,-0.085725396871567,-24.0113353729248,
1709507858.67108,-0.086152084171772,-23.5119781494141,
1709507858.73911,-0.086714021861553,-23.0127620697021,
1709507858.80841,-0.087157651782036,-22.5136375427246,
1709507858.87178,-0.087440773844719,-22.0144519805908,
1709507858.92769,-0.087814517319202,-21.5149993896484,
1709507859.00314,-0.08837528526783,-21.0153942108154,
1709507859.07433,-0.088874287903309,-20.5159549713135,
1709507859.13533,-0.089178003370762,-20.0167217254639,
1709507859.19667,-0.089503549039364,-19.5174007415771,
1709507859.26935,-0.090036027133465,-19.0178489685059,
1709507859.33804,-0.09058540314436,-18.5181713104248,
1709507859.40533,-0.090927079319954,-18.0185527801514,
1709507859.47214,-0.091214381158352,-17.519063949585,
1709507859.53353,-0.091701075434685,-17.0196495056152,
1709507859.60206,-0.09228690713644,-16.5202655792236,
1709507859.66839,-0.092685677111149,-16.0209369659424,
1709507859.73376,-0.092949822545052,-15.5215702056885,
1709507859.80211,-0.093380853533745,-15.021993637085,
1709507859.8676,-0.093983829021454,-14.5223712921143,
1709507859.93724,-0.094447091221809,-14.0229625701904,
1709507859.99627,-0.094711549580097,-13.5236330032349,
1709507860.0592,-0.095079720020294,-13.0240659713745,
1709507860.12312,-0.095673412084579,-12.5243310928345,
1709507860.18946,-0.096205189824104,-12.0248165130615,
1709507860.24823,-0.096494540572166,-11.5255298614502,
1709507860.31222,-0.096803396940231,-11.026068687439,
1709507860.38091,-0.097362987697124,-10.5262899398804,
1709507860.44285,-0.097952052950859,-10.0265998840332,
1709507860.50514,-0.098289757966995,-9.52721691131592,
1709507860.57575,-0.098551638424397,-9.02781391143799,
1709507860.64507,-0.099055357277393,-8.52806186676025,
1709507860.70659,-0.099685147404671,-8.02824687957764,
1709507860.78103,-0.100090876221657,-7.52876138687134,
1709507860.84255,-0.10032619535923,-7.02941417694092,
1709507860.90993,-0.10360087454319,-6.53061008453369,
1709507860.97427,-0.118313901126385,-6.04089832305908,
1709507861.05157,-0.147579580545425,-5.56042098999023,
1709507861.11572,-0.196932688355446,-5.0884370803833,
1709507861.18398,-0.270596086978912,-4.62548923492432,
1709507861.25045,-0.366832733154297,-4.17023897171021,
1709507861.32182,-0.481345117092133,-3.726229429245,
1709507861.39438,-0.612368166446686,-3.3032169342041,
1709507861.46277,-0.762934267520905,-2.9038496017456,
1709507861.52377,-0.936984658241272,-2.51801109313965,
1709507861.59089,-1.13646066188812,-2.14065837860107,
1709507861.6612,-1.35905599594116,-1.77874636650085,
1709507861.72394,-1.59748935699463,-1.43426585197449,
1709507861.79193,-1.84275639057159,-1.09592711925507,
1709507861.85897,-2.09266400337219,-0.759508907794952,
1709507861.93161,-2.34380197525024,-0.430556029081345,
1709507861.99049,-2.5938229560852,-0.111148409545422,
1709507862.06037,-2.84073686599731,0.20697209239006,
1709507862.12736,-3.08019065856934,0.527691960334778,
1709507862.19448,-3.30411624908447,0.848845064640045,
1709507862.26483,-3.51235413551331,1.1705949306488,
1709507862.32687,-3.70559144020081,1.49718677997589,
1709507862.40549,-3.87867856025696,1.82605195045471,
1709507862.47362,-4.02591848373413,2.15264010429382,
1709507862.53834,-4.14716958999634,2.48161005973816,
1709507862.59833,-4.24753618240356,2.81958484649658,
1709507862.66354,-4.32810115814209,3.16369891166687,
1709507862.7377,-4.38485240936279,3.50695013999939,
1709507862.80055,-4.41812801361084,3.86078953742981,
1709507862.86262,-4.4342622756958,4.23169279098511,
1709507862.92589,-4.44453191757202,4.61067771911621,
1709507862.99232,-4.45098876953125,4.98779535293579,
1709507863.06036,-4.44627046585083,5.36627244949341,
1709507863.12817,-4.43450355529785,5.75422334671021,
1709507863.19353,-4.41661500930786,6.15305900573731,
1709507863.25608,-4.39481210708618,6.55775880813599,
1709507863.3235,-4.37801647186279,6.96615076065064,
1709507863.38509,-4.37075042724609,7.38090896606445,
1709507863.44652,-4.36632633209229,7.80653619766235,
1709507863.51072,-4.36110734939575,8.24436950683594,
1709507863.57579,-4.35490989685059,8.68737697601318,
1709507863.6424,-4.3494668006897,9.12772083282471,
1709507863.70626,-4.34530973434448,9.57091426849365,
1709507863.76659,-4.34028911590576,10.0290813446045,
1709507863.82789,-4.33443927764893,10.5011987686157,
1709507863.89591,-4.32772064208984,10.9738426208496,
1709507863.97334,-4.32259702682495,11.4443063735962,
1709507864.0424,-4.31720113754272,11.9263324737549,
1709507864.1013,-4.31122922897339,12.426718711853,
1709507864.17204,-4.30384206771851,12.9312181472778,
1709507864.23709,-4.29770135879517,13.4278926849365,
1709507864.30635,-4.2927737236023,13.9220914840698,
1709507864.36939,-4.28703308105469,14.4227523803711,
1709507864.42968,-4.2800145149231,14.9287719726563,
1709507864.49291,-4.27328205108643,15.4323959350586,
1709507864.56709,-4.26813697814941,15.9306221008301,
1709507864.63811,-4.26309585571289,16.4278221130371,
1709507864.70693,-4.25637435913086,16.9281330108643,
1709507864.77594,-4.2488431930542,17.4299468994141,
1709507864.84665,-4.24307060241699,17.9304485321045,
1709507864.91103,-4.23813533782959,18.4301452636719,
1709507864.97825,-4.23170804977417,18.9303741455078,
1709507865.04918,-4.22388505935669,19.4310874938965,
1709507865.11865,-4.21778345108032,19.9313354492188,
1709507865.17831,-4.21281290054321,20.4314727783203,
1709507865.25259,-4.20648813247681,20.9321441650391,
1709507865.31405,-4.19846773147583,21.433069229126,
1709507865.37439,-4.19157028198242,21.9331855773926,
1709507865.44118,-4.18657445907593,22.4325389862061,
1709507865.50852,-4.18066692352295,22.9326038360596,
1709507865.57544,-4.17282295227051,23.4338932037353,
1709507865.64221,-4.16520881652832,23.9348926544189,
1709507865.70559,-4.15984964370728,24.4345474243164,
1709507865.77383,-4.15462970733643,24.9340629577637,
1709507865.84003,-4.14717864990234,25.4344654083252,
1709507865.90049,-4.1390118598938,25.9351463317871,
1709507865.97246,-4.13292026519775,26.4350051879883,
1709507866.04303,-4.1278977394104,26.9345874786377,
1709507866.11461,-4.12085103988647,27.4350547790527,
1709507866.17995,-4.11230659484863,27.9360237121582,
1709507866.2449,-4.10543441772461,28.4361686706543,
1709507866.30968,-4.1006293296814,28.9356880187988,
1709507866.37715,-4.09429311752319,29.4360313415527,
1709507866.43807,-4.0857744216919,29.9375,
1709507866.51196,-4.07814121246338,30.4384288787842,
1709507866.573,-4.07317733764648,30.9380836486816,
1709507866.64358,-4.06747913360596,31.4377002716064,
1709507866.70593,-4.05915689468384,31.9385051727295,
1709507866.76932,-4.0508885383606,32.4395332336426,
1709507866.83309,-4.04547500610352,32.9396781921387,
1709507866.90376,-4.04040384292603,33.4395790100098,
1709507866.9624,-4.03266954421997,33.9402618408203,
1709507867.02677,-4.02392387390137,34.4413299560547,
1709507867.09097,-4.01778316497803,34.9414520263672,
1709507867.16071,-4.01311635971069,35.4410209655762,
1709507867.2213,-4.00613260269165,35.9412689208984,
1709507867.29164,-3.99714016914368,36.4420967102051,
1709507867.35676,-3.99010872840881,36.9425048828125,
1709507867.42729,-3.9855592250824,37.4426383972168,
1709507867.49002,-3.97947716712952,37.9431800842285,
1709507867.54776,-3.97059774398804,38.4442329406738,
