Time,X Position,Y Position,Total Track Time
1.70971829704526E+018,-10.9159898757935,2.80922889709473,
1.70971829710347E+018,-11.0946044921875,2.56432890892029,
1.70971829716707E+018,-11.2605924606323,2.31076455116272,
1.7097182972249E+018,-11.4134006500244,2.04930067062378,
1.70971829728081E+018,-11.5528955459595,1.78065371513367,
1.70971829734093E+018,-11.6788215637207,1.50538659095764,
1.70971829740064E+018,-11.791145324707,1.22393548488617,
1.70971829745821E+018,-11.8902320861816,0.936651587486267,
1.70971829751676E+018,-11.9745693206787,0.644593596458435,
1.70971829757648E+018,-12.0435285568237,0.349230706691742,
1.70971829763305E+018,-12.0972414016724,0.05140732973814,
1.70971829769022E+018,-12.1359186172485,-0.248578071594238,
1.709718297745E+018,-12.1603050231934,-0.550569236278534,
1.7097182978014E+018,-12.1698207855225,-0.854258239269257,
1.70971829785671E+018,-12.1643619537354,-1.158726811409,
1.70971829791394E+018,-12.1438503265381,-1.46232271194458,
1.70971829797006E+018,-12.1087636947632,-1.76418089866638,
1.70971829803781E+018,-12.0587425231934,-2.06372165679932,
1.70971829810612E+018,-11.9938058853149,-2.36031365394592,
1.70971829817394E+018,-11.914137840271,-2.65313339233398,
1.70971829824185E+018,-11.8202142715454,-2.94165015220642,
1.70971829831173E+018,-11.7120733261108,-3.2254581451416,
1.70971829838192E+018,-11.5899038314819,-3.50374794006348,
1.70971829845005E+018,-11.4540252685547,-3.77531957626343,
1.7097182985264E+018,-11.3048849105835,-4.03940963745117,
1.7097182985956E+018,-11.1429605484009,-4.29575777053833,
1.70971829866631E+018,-10.9684343338013,-4.54382181167603,
1.7097182987333E+018,-10.7817010879517,-4.78313636779785,
1.70971829880145E+018,-10.5830698013306,-5.0129919052124,
1.70971829887251E+018,-10.373236656189,-5.23248767852783,
1.7097182989367E+018,-10.1530952453613,-5.44113206863403,
1.70971829899932E+018,-9.92308330535889,-5.63815784454346,
1.70971829906114E+018,-9.68342685699463,-5.82315587997437,
1.70971829912456E+018,-9.43453311920166,-5.99578809738159,
1.70971829918697E+018,-9.17697143554688,-6.15563535690308,
1.70971829924796E+018,-8.91148567199707,-6.30292987823486,
1.70971829930924E+018,-8.63908958435059,-6.43708324432373,
1.70971829936954E+018,-8.36073112487793,-6.55708980560303,
1.70971829942992E+018,-8.07705974578857,-6.66259145736694,
